80
(0, 18, 0, blue ,1, - , % , % )
(0, 1, 0, blue ,1, - , % , % )
(1, 1, 0, blue ,1, - , % , % )
(1, 11, 0, blue ,1, - , % , % )
(2, 18, 0, blue ,1, - , % , % )
(2, 19, 0, blue ,1, - , % , % )
(3, 1, 0, blue ,1, - , % , % )
(3, 0, 0, blue ,1, - , % , % )
(4, 16, 0, blue ,1, - , % , % )
(4, 19, 0, blue ,1, - , % , % )
(5, 18, 0, blue ,1, - , % , % )
(5, 11, 0, blue ,1, - , % , % )
(6, 5, 0, blue ,1, - , % , % )
(6, 21, 0, blue ,1, - , % , % )
(7, 19, 0, blue ,1, - , % , % )
(7, 19, 0, blue ,1, - , % , % )
(8, 19, 0, blue ,1, - , % , % )
(8, 21, 0, blue ,1, - , % , % )
(9, 0, 0, blue ,1, - , % , % )
(9, 1, 0, blue ,1, - , % , % )
(10, 30, 0, blue ,1, - , % , % )
(10, 1, 0, blue ,1, - , % , % )
(11, 28, 0, blue ,1, - , % , % )
(11, 18, 0, blue ,1, - , % , % )
(12, 0, 0, blue ,1, - , % , % )
(12, 27, 0, blue ,1, - , % , % )
(13, 18, 0, blue ,1, - , % , % )
(13, 20, 0, blue ,1, - , % , % )
(14, 20, 0, blue ,1, - , % , % )
(14, 18, 0, blue ,1, - , % , % )
(15, 1, 0, blue ,1, - , % , % )
(15, 1, 0, blue ,1, - , % , % )
(16, 18, 0, blue ,1, - , % , % )
(16, 1, 0, blue ,1, - , % , % )
(17, 0, 0, blue ,1, - , % , % )
(17, 1, 0, blue ,1, - , % , % )
(18, 18, 0, blue ,1, - , % , % )
(18, 0, 0, blue ,1, - , % , % )
(19, 16, 0, blue ,1, - , % , % )
(19, 0, 0, blue ,1, - , % , % )
(20, 19, 0, blue ,1, - , % , % )
(20, 5, 0, blue ,1, - , % , % )
(21, 37, 0, blue ,1, - , % , % )
(21, 1, 0, blue ,1, - , % , % )
(22, 18, 0, blue ,1, - , % , % )
(22, 18, 0, blue ,1, - , % , % )
(23, 21, 0, blue ,1, - , % , % )
(23, 0, 0, blue ,1, - , % , % )
(24, 33, 0, blue ,1, - , % , % )
(24, 20, 0, blue ,1, - , % , % )
(25, 1, 0, blue ,1, - , % , % )
(25, 19, 0, blue ,1, - , % , % )
(26, 1, 0, blue ,1, - , % , % )
(26, 18, 0, blue ,1, - , % , % )
(27, 18, 0, blue ,1, - , % , % )
(27, 16, 0, blue ,1, - , % , % )
(28, 11, 0, blue ,1, - , % , % )
(28, 18, 0, blue ,1, - , % , % )
(29, 1, 0, blue ,1, - , % , % )
(29, 11, 0, blue ,1, - , % , % )
(30, 18, 0, blue ,1, - , % , % )
(30, 19, 0, blue ,1, - , % , % )
(31, 18, 0, blue ,1, - , % , % )
(31, 30, 0, blue ,1, - , % , % )
(32, 18, 0, blue ,1, - , % , % )
(32, 0, 0, blue ,1, - , % , % )
(33, 1, 0, blue ,1, - , % , % )
(33, 21, 0, blue ,1, - , % , % )
(34, 1, 0, blue ,1, - , % , % )
(34, 18, 0, blue ,1, - , % , % )
(35, 19, 0, blue ,1, - , % , % )
(35, 11, 0, blue ,1, - , % , % )
(36, 1, 0, blue ,1, - , % , % )
(36, 21, 0, blue ,1, - , % , % )
(37, 19, 0, blue ,1, - , % , % )
(37, 30, 0, blue ,1, - , % , % )
(38, 21, 0, blue ,1, - , % , % )
(38, 21, 0, blue ,1, - , % , % )
(39, 0, 0, blue ,1, - , % , % )
(39, 0, 0, blue ,1, - , % , % )
