40
(0.0474, 0.38738, cyan , - , 20, - )
(0.6981, 0.67698, cyan , - , 20, - )
(0.10389, 0.76626, cyan , - , 20, - )
(0.98597, 0.42678, cyan , - , 20, - )
(0.83203, 0.17794, cyan , - , 20, - )
(0.55804, 0.87709, cyan , - , 20, - )
(0.07867, 0.86078, cyan , - , 20, - )
(0.6757, 0.30482, cyan , - , 20, - )
(0.19627, 0.31594, cyan , - , 20, - )
(0.09287, 0.47223, cyan , - , 20, - )
(0.6952, 0.30822, cyan , - , 20, - )
(0.77647, 0.43764, cyan , - , 20, - )
(0.94685, 0.43082, cyan , - , 20, - )
(0.74964, 0.14963, cyan , - , 20, - )
(0.7693, 0.17304, cyan , - , 20, - )
(0.23825, 0.65314, cyan , - , 20, - )
(0.0538, 0.45754, cyan , - , 20, - )
(0.18599, 0.22304, cyan , - , 20, - )
(0.02544, 0.96933, cyan , - , 20, - )
(0.82222, 0.68784, cyan , - , 20, - )
(0.29267, 0.99103, cyan , - , 20, - )
(0.49058, 0.88286, cyan , - , 20, - )
(0.72332, 0.26666, cyan , - , 20, - )
(0.28741, 0.13086, cyan , - , 20, - )
(0.2563, 0.11635, cyan , - , 20, - )
(0.42283, 0.61416, cyan , - , 20, - )
(0.23089, 0.53879, cyan , - , 20, - )
(0.98527, 0.02509, cyan , - , 20, - )
(0.35221, 0.73915, cyan , - , 20, - )
(0.68237, 0.97086, cyan , - , 20, - )
(0.62349, 0.76389, cyan , - , 20, - )
(0.05369, 0.09998, cyan , - , 20, - )
(0.21425, 0.83598, cyan , - , 20, - )
(0.70877, 0.95074, cyan , - , 20, - )
(0.36198, 0.56763, cyan , - , 20, - )
(0.46942, 0.02492, cyan , - , 20, - )
(0.85632, 0.41298, cyan , - , 20, - )
(0.95834, 0.29236, cyan , - , 20, - )
(0.2474, 0.31899, cyan , - , 20, - )
(0.95748, 0.38289, cyan , - , 20, - )
